"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"gaw","告锆郜诰缟縞誥鋯烄"
"gav","稿杲藁缟夰菒槀稾縞藳暠"
"gax","舸哿笴"
"gei","鸡稽卟笄乩枅雞鷄"
"gey","系计继蓟髻轚計薊檕檵繫繼蘻係"
"gek","击激敫墼擊鸄轚獥"
"gem","兼缣鹣蒹縑鳒鶼鰜"
"geb","搛趝"
"gef","孂"
"gen","肩坚鲣幵菺堅猏豣麉鵳鰹鋻鳽豜"
"geq","经泾巠涇經鵛"
"gec","径迳弪俓逕徑弳桱"
"geg","刭剄烴"
"gel","见枧梘見鋻"
"ger","茧笕枧趼挸梘筧絸繭蠒襺垷"
"geoi","该赅垓剀陔胲侅郂荄峐姟晐祴絯豥賅該剴"
"geoy","概溉摡槩漑槪"
"geoj","改颏絠頦攺"
"geok","裓孂"
"geom","淦蜬弇"
"geob","淦绀紺灨"
"geof","感赣鳡鱤贛灨贑"
"geon","跟根珢"
"geoq","搄揯縆緪絙"
"geoc","亘亙揯縆緪堩"
"geol","艮茛詪珢"
"geor","詪"
"geop","鸽蛤颌铪鴿佮匌閤鞈韐鮯鉿頜敆郃"
"geot","虼"
"gep","颊荚铗蛱梜筴莢唊蛺鋏頰"
"get","结洁桔拮狤袺絜結魝潔鍥"
"geu","浇骁枭徼憿澆梟蟂驍"
"gew","叫徼敫鸄訆嘂噭獥譥"
"gev","缴皎恔晈儌璬皦繳"
"gia","迦"
"geek","戟谻丮撠"
"geeq","京惊荆荊鶁麖驚麠蟼"
"geec","竟镜敬獍鏡"
"geeg","景境警檠璥憼蟼"
"gee","奇畸羁掎攲躸羇羈竒"
"geeh","寄徛"
"geey","讦彐彑罽蘮瀱訐猘"
"geef","检睑檢瞼"
"geer","謇蹇囝搴藆"
"geep","鵖"
"geet","孑讦趌訐"
"geeu","骄娇挢憍嬌穚簥驕鷮撟蕎"
"geev","矫挢撟敽矯蟜譑孂鱎蹻"
"geex","庋掎剞攲踦"
"giak","脚腳屩蹻"
"giab","剑劍劒劔"
"giaq","姜疆僵缰礓畕壃薑橿殭繮韁畺"
"giag","襁镪膙憼繈繦鏹"
"giap","劫砝袷跲衱蜐鉣"
"gieh","翨馶"
"gien","薽籈"
"giec","劲勁"
"gieg","颈頸"
"gioi","机几饥矶讥叽蕲玑桤刏僟嘰璣機禨磯譏鐖饑鞿幾榿蘄"
"gioy","既暨漑禨旡旣蔇曁"
"gioj","几虮幾穖蟣"
"giex","枳"
"ge","机肌饥虮飢"
"geh","冀骥觊洎兾穊覬懻驥"
"geim","金今襟钅衿釒黅"
"geib","禁僸"
"geif","锦錦"
"gein","巾"
"geip","给级急汲芨皀鴔給伋彶級"
"gex","几麂"
"gik","亟棘殛蕀襋茍悈"
"giq","兢矜"
"gir","紧胗緊"
"gio","车居琚椐裾車崌涺腒蜛鶋"
"gioh","据锯踞椐倨豦據鋸澽鐻"
"gion","犍靬鞬騝"
"giol","建毽旔"
"gior","湕揵"
"giot","讦羯訐鍻"
"giox","举莒榉弆筥舉櫸"
"gii","基姬箕萁丌稘錤諅朞諆"
"giy","记記"
"giin","斤筋觔釿"
"giil","靳劤"
"giir","谨堇槿卺巹漌謹慬菦"
"giit","吃讫扢訖"
"gij","己纪妀紀"
"git","吉拮郆趌狤"
"giu","鸠阄丩勼朻鳩鬮"
"giw","救究灸疚厩匓廐廄廏"
"giv","九久韭玖"
"go","孤姑辜菇沽咕呱箍鸪菰胍觚蛄酤泒柧罛軱箛嫴鴣橭盬苽"
"goh","故顾固雇锢痼崮酤鲴凅棝頋稒僱錮鯝顧"
"goi","瑰傀膭瓌鞼櫰"
"goy","愦簂蔮慖刏憒"
"gok","梏郜牿祰"
"gon","昆琨锟鲲醌惃菎晜崐崑猑裈鹍蜫褌瑻錕騉鵾鯤鶤"
"goq","釭"
"gol","琯睔睴璭謴"
"gor","滚辊锟衮磙鲧绲丨袞惃蓘蔉滾緄輥緷鯀錕"
"got","骨汩鹘蓇扢啒淈尳愲榾縎"
"gox","古股鼓估贾钴牯蛊诂罟臌瞽夃羖焸詁鼔鈷皷盬蠱賈"
"gu","句沟勾钩篝缑鞴鞲鸲冓鈎鉤溝褠緱韝軥鴝"
"gua","过锅戈埚緺楇瘑鍋過堝渦蝸"
"goa","瓜蜗娲緺騧媧婐"
"goah","坬"
"goay","狯夬獪"
"goak","虢"
"goan","关擐関癏關"
"goaq","觥觵侊"
"goag","矿礦穬鑛"
"goal","惯倌掼丱摜慣矔"
"goat","刮鸹劀鴰趏颳"
"goax","寡剐冎剮"
"goe","娲脶歄緺騧腡媧蝸"
"goeh","挂卦褂诖掛罣詿"
"goei","乖"
"goey","怪恠"
"goek","帼掴馘嘓腘摑聝幗漍慖膕讗埻"
"goen","纶鳏瘝鰥綸"
"goet","劀鱊"
"goex","拐枴柺"
"guah","过骒鐹過騍"
"guay","会脍桧刽侩浍郐狯劊禬襘會澮檜巜鲙儈鄶獪廥膾旝鱠鬠"
"guak","郭椁崞槨彉彍埻"
"guan","观官冠莞棺倌涫觀毌悹"
"guaq","光恍胱咣桄灮侊垙茪洸珖輄僙"
"guac","桄"
"guag","广邝廣鄺"
"gual","馆观冠灌罐贯鹳盥绾涫觀痯舘錧館毌悺婠貫悹祼遦樌雚鏆瓘爟矔鑵鸛鱹懽巏綰"
"guar","管脘筦痯輨錧悹琯"
"guat","括聒鸹栝銽鴰劊佸葀萿筈頢髺懖铦銛"
"guax","果裹猓蜾锞鐹菓馃惈粿輠餜錁嬤"
"guei","圭闺鲑邽茥珪胿窐袿閨鮭"
"guey","桂炔昋筀"
"guek","狊郹湨犑鶪鼳"
"guen","涓鹃蠲鞙鵑睊焆"
"gueq","垧扃坰駉駫冋絅"
"gueg","炯炅颎煛熲"
"guel","狷懁瓹睊罥獧讂"
"guer","畎詃埍罥羂汱甽"
"guet","决诀抉谲觖芵決玦疦蚗赽趹訣鈌駃鴃潏憰鴂譎鐍觼骙騤"
"guh","购够构媾彀觏遘冓姤夠搆雊構煹覯購怐軥"
"guk","谷毂唂轂榖穀糓濲瀔瑴"
"guq","工公功攻蚣疘釭愩碽篢玒魟"
"guc","贡羾貢"
"guok","国蝈馘蟈國腘膕"
"guoq","肱"
"gux","狗苟垢枸诟岣笱玽耇豿茩詬敂"
"giiu","丩朻樛"
"gyig","憬臩璟暻囧煚"
"gue","妫沩媯嬀溈潙"
"gueh","垝攱"
"gyiy","鳜刿劌鱖"
"gyan","勬"
"gyal","眷桊勬帣弮絭睠飬餋犈觠"
"gyar","卷锩捲菤錈埢韏"
"gyat","罬"
"guex","诡庋佹陒垝恑姽庪祪蛫觤詭蟡攱洈"
"gyak","攫矍镢蠼玃彏躩貜钁"
"gyac","诳臦誑"
"gyag","逛犷獷臩迋"
"gye","规規摫槻鬹"
"gyeh","瞡"
"gyel","绢鄄狷絹"
"gyoi","归皈歸騩"
"gyoy","贵貴瞶"
"gyoj","鬼"
"gyih","季瞡"
"gui","龟鳜螝龜騩鱖頄"
"guy","愧螝騩頍媿聭謉餽"
"guin","麇汮莙麏麕頵"
"guj","轨晷簋宄匦氿軌匭厬頯朹"
"gyin","均钧汮袀鈞"
"gyil","呁"
"gyit","橘繘"
"gyix","癸湀"
"giuk","菊掬鞫匊踘諊泦椈閰趜鵴蘜巈"
"giun","军君皲宭軍莙桾皸鲪鮶"
"giuq","宫弓躬宮匑躳"
"giul","皲捃皸攈"
"gyo","俱拘驹岣捄眗痀跔駒鮈"
"gyoh","句屦蒟邭屨怐絇"
"gyok","锔拲挶梮輂鋦絭"
"gyoq","供恭龚珙廾髸龔"
"gyoc","供龏"
"gyog","巩拱珙廾拲栱輁鞏孒蛬"
"gyol","絭卛"
"gyot","獗厥蕨蹶鳜噘撅橛孓劂鱖孒氒欮瘚橜蟨蟩"
"gyox","矩踽榘椇蒟聥萭楀"
"giut","孒趉鶌"
"giiv","纠赳朻糾鬮"
"la","罗萝锣箩椤猡啰羅儸蘿玀欏籮鑼饠剆囉"
"laa","旯"
"laag","冷"
"laau","窌顟賿"
"laax","藞"
"laei","唻"
"laek","礐"
"laef","脸臉醶"
"laen","斕潾"
"lah","逻邏"
"lay","赖籁濑癞粝賴鵣藾瀨癩籟犡糲"
"lak","乐落洛络骆烙酪珞硌雒跞泺袼轹挌鉻駱轢笿絡鮥鵅濼馲樂躒"
"lam","蓝篮褴儖藍懢襤籃擥蘫"
"lab","滥懢嚂濫爁"
"laf","览揽榄罱擥覽攬欖爁"
"lan","兰栏拦澜斓阑谰闌襕攔蘭幱瀾欄籣欗躝讕筤艆躴閬鋃鎯駺蜋哴"
"laq","狼郎廊琅榔螂踉阆锒莨啷稂欴蓈桹瑯硠筤艆躴閬鋃鎯駺蜋哴"
"lac","浪阆蒗閬埌"
"lag","朗朖誏崀俍"
"lal","烂谰镧讕鑭爛爤糷"
"lar","懒谰灡讕懶嬾"
"laok","荦犖"
"laoq","泷瀧"
"lap","腊蜡邋臈搚臘镴蠟鑞擸"
"lat","辣喇剌粝瘌轹楋揧辢蝲鬎攋癩糲轢"
"lau","劳捞牢崂醪铹撈窂哰勞嶗憥蟧簩鐒髝簝"
"law","涝痨耢僗癆髝嫪澇橯耮"
"lav","老姥佬潦铑栳荖恅銠橑轑"
"lax","椤欏剆砢曪"
"lei","黎犁莉藜骊黧筣盠蔾謧邌鯬廲驪瓈"
"ley","丽隶荔俪戾唳捩劙欐沴珕栛涖悷蜧綟隷隸麗盭儷蜦秝蚸厤蒚歷曆磿瓅壢攊藶櫟嚦瀝櫪礫皪癧"
"lej","礼澧蠡醴鲡鳢盠劙鱺豊禮欐鱧欚"
"lek","历沥砾雳镉栎郦枥坜鬲呖跞疬泺苈轹鎘秝蚸厤蒚歷曆磿瓅壢攊藶櫟嚦瀝櫪礫皪癧轢靂觻擽濼蝷躒"
"lem","濂溓熑薕濓燫鬑"
"leb","稴"
"lef","溓稴"
"len","莲怜蓮嗹憐縺"
"leq","令零灵铃龄伶玲拎羚苓聆翎泠瓴囹呤棂蛉酃柃獜鏻〇刢阾彾狑姈昤砱秢鸰竛笭舲紷軨跉詅閝鈴駖蕶鹷鴒魿澪霝霛蘦孁齡櫺醽靈欞麢爧龗"
"lec","另"
"leg","笭"
"lel","练炼楝揀浰堜萰僆湅煉練鍊鰊"
"leoi","来莱涞崃铼來郲萊梾逨崍徠猍庲淶棶錸騋鶆麳鯠犛斄"
"leoy","睐徕赉逨徠勑睞賚誺"
"leoj","唻"
"leok","勒肋叻鳓嘞仂泐阞扐艻玏竻鰳朸"
"leom","岚婪啉葻嵐燷燣惏"
"leob","顲僋"
"leof","缆漤燣浨醂壈纜顲"
"leoq","棱楞塄稜倰祾輘"
"leoc","愣踜倰"
"leop","拉啦垃摺菈搚磖"
"let","唳捩綟盭奊夨"
"leu","辽僚聊寥缭撩嘹寮獠鹩摷蟧橑膋漻憀遼敹嶚憭嫽璙膫竂蟟簝豂繚髎飉鷯瞭鐐熮翏"
"lew","料镣尥嫽璙炓"
"lev","了缭蓼憭繚镽鄝爒"
"li","梨蜊刕棃犂蔾蟍鯬鑗秜"
"liak","略掠撂詻擽畧"
"liaq","量良梁粮凉粱踉椋墚涼辌蜋綡樑輬糧"
"liac","量亮辆掠谅晾踉悢緉哴喨輛諒"
"liag","两俩魉両兩倆掚脼裲蜽緉魎"
"lie","离璃漓罹篱骊郦鹂蓠缡攡黐樆褵縭醨謧離鵹蘺灕孋劙矖穲籬驪鸝酈犡禲礪蠣糲鮤"
"lieh","荔詈珕"
"liey","例励厉砺蛎洌疠粝砅栵厲勵巁癘濿櫔蠇犡禲礪蠣糲鮤鬑鐮籢籨襝蘞薟獫"
"liem","廉帘镰裣臁奁莶搛蠊猃蔹覝奩匳薕鎌簾鬑鐮籢籨襝蘞薟獫"
"lieb","殓潋猃爁殮瀲獫"
"lief","捡敛潋莶猃蔹撿溓嬚斂羷蘞澰瀲薟獫"
"lien","连联链涟鲢裢連漣褳聮翴聯鰱槤鏈"
"lieq","跉"
"liec","令詅"
"lieg","领岭柃阾袊領嶺"
"liel","摙"
"lier","琏撵辇膦璉鄻僆摙輦攆"
"liep","猎鬣躐獦巤儠擸獵犣鬛鱲"
"liet","列烈裂冽咧趔洌栵挒茢迾姴蛚颲鴷鮤"
"lieu","燎髎"
"liew","疗鹩膫療鷯尞熮"
"liev","缭憭嫽璙繚爒"
"liex","逦峛邐"
"lih","利俐莅痢猁疬琍涖蒞鬁"
"lik","力仂泐屴朸鳨"
"lim","林临淋琳霖箖臨瀶痳"
"lib","临"
"lif","凛廪檩懔癛菻凜廩澟懍檁顲"
"lin","邻磷麟鳞粼嶙辚瞵粦鄰獜潾璘燐疄麐翷繗轔壣鏻驎鱗駗藺躙轥躪"
"liq","陵凌菱绫鲮夌掕崚淩祾蔆綾鯪"
"lil","遴蔺吝躏辚瞵粦燐疄麐轔鏻撛悋橉閵甐藺躙轥躪"
"lir","撛僯橉"
"lio","驴庐榈闾胪璷廬臚閭藘櫚驢櫖爈"
"lioh","虑滤慮勴濾櫖鑢"
"liox","旅吕铝侣膂稆呂郘侶梠祣絽鋁儢穭"
"lip","立粒笠砬苙岦鴗"
"lii","厘狸喱嫠倈剺筣艃孷貍犛釐斄氂梩"
"liy","吏"
"lij","里李理哩鲤锂俚娌悝浬裡裏鋰鯉"
"lit","栗溧傈篥凓塛搮慄瑮鷅麜"
"liu","流留刘榴瘤硫浏琉馏遛鎏骝镏旒熘摎憀裗蒥嵧瑠飗駠鹠劉瑬疁镠駵鎦餾瀏懰鏐飀騮鰡鶹飂勠"
"liw","溜廖鹨窌畂餾嬼塯廇霤飂鷚翏僇勠"
"liv","柳浏绺茆锍懰珋綹罶鋶熮嬼"
"lix","履"
"lo","炉芦卢颅泸噜鲈轳撸鸬栌舻垆擼嚕玈盧壚攎蘆嚧獹瀘瓐櫨爐矑蠦罏籚艫纑轤鑪顱髗鸕鱸黸"
"loh","路露赂潞鹭璐辂輅賂蕗簵簬虂鷺"
"loi","雷擂镭檑畾瓃櫑罍鐳轠鑘"
"loy","擂耒酹檑礧傫儽銇錑攂颣纇蘱"
"loj","蕾磊儡郲櫑礧磥癗鑘頛"
"lok","泺濼"
"lon","论掄菕崘崙論"
"lol","论碖溣論"
"lor","睔惀碖"
"lot","硉"
"lox","鲁虏卤掳橹氇镥鹵虜蓾滷樐魯擄櫓艣鏀鐪鑥氌樓膢耬螻艛謱鞻髏摟簍鷜褸"
"lu","楼搂娄喽偻髅耧蝼蒌剅瞜婁僂蔞遱嘍廔慺樓膢耬螻艛謱鞻髏摟簍鷜褸"
"lua","螺骡摞镙脶蠃腡鏍覶騾覼驘鸁"
"luah","漯摞"
"luay","酹頪"
"luak","硦"
"luan","滦峦鸾栾銮脔圝巒欒曫灓羉臠圞灤鑾鸞"
"lual","乱灓亂"
"luar","卵"
"luat","捋蛶"
"luax","裸瘰倮蠃蓏躶臝"
"luh","漏陋镂偻瘘僂屚瘻瘺蔄"
"luk","鹿禄麓辘漉渌泺簏鄜龣磟甪彔淥娽琭祿睩盝摝蔍箓廘趢螰轆簶鏕騼觻濼櫳曨朧矓礱襱龓籠聾蠪豅鸗"
"luq","笼聋胧珑茏咙砻泷栊屸昽眬蘢嚨巃瀧瓏櫳曨朧矓礱襱龓籠聾蠪豅鸗"
"luc","弄咔砻哢礱梇挵"
"lug","拢昽巃曨襱龓儱攏竉"
"lux","篓嵝溇嘍謱塿嶁漊甊簍"
"liiu","蟉镠鏐"
"lye","羸"
"lyeh","累"
"lyen","挛孪孿攣"
"lyel","恋娈戀孌灓"
"lyer","脔娈脟孌臠"
"lyet","劣埒锊蛶浖脟哷鋝"
"lyex","累厽絫樏"
"lyi","嫘缧縲瓃虆欙纝傫樏纍儽鸓"
"lyih","类泪瓃淚類蘱禷"
"lyin","轮伦仑沦抡囵掄侖倫陯圇淪惀棆蜦輪踚鯩"
"lyir","耣"
"lyit","率律膟寽葎繂"
"lyix","垒耒诔轠誄藟壘櫐蘽讄鸓蜼猚"
"liuk","六陆戮蓼磟坴陸淕稑僇剹勠踛穋鵱鯥"
"liuq","隆窿癃霳"
"lyo","娄镂瘘嵝蒌瞜蔞慺膢摟嶁瘻鏤氀鷜"
"lyoh","屡屢"
"lyok","录绿碌氯逯渌菉淥娽箓趢醁録錄騄籙緑綠"
"lyoq","龙茏龍蘢躘驡鸗"
"lyoc","躘儱贚"
"lyog","垄陇垅隴壠壟"
"lyox","缕偻褛嵝蒌溇僂蔞慺謱嶁漊簍褸縷"
"maa","吗麻妈嘛蟆媽嗎痲犘"
"maah","骂杩傌榪禡罵駡鬕"
"maay","迈劢佅勱邁"
"maak","陌佰蓦貊貘帞袹蛨嗼銆驀洦"
"maan","蛮鬘蠻獌"
"maaq","盲虻莔鄳蝱"
"maac","孟朚"
"maag","猛锰勐蜢艋鄳錳鱦"
"maal","慢熳嫚縵"
"maar","矕"
"maat","帓"
"maau","猫茅蝥犛貓罞鶜媌"
"maaw","貌緢皃"
"maav","卯铆峁茆泖昴緢戼鉚媌"
"maax","马码蚂玛犸馬獁瑪碼螞鷌鰢"
"maeh","卖賣"
"maei","埋霾薶"
"maey","韎"
"maek","麦脉唛脈麥衇嘜霢覛眽"
"maeq","萌氓甍甿蕄嫇"
"maeg","黾鼆黽"
"mael","蔄"
"maer","睌"
"maet","睰礣齂"
"maex","买荬買蕒嘪鷶"
"may","沬枺眜"
"mak","莫幕膜漠寞镆瘼鄚塻嗼瞙鏌"
"mam","姏"
"maq","忙芒茫邙吂汒杗恾朚蘉"
"mac","漭吂"
"mag","莽蟒漭茻壾蠎"
"maok","邈瞀眊瞐毣"
"maoq","尨厖哤狵浝娏牻痝蛖駹"
"mau","毛髦锚牦旄枆酕堥氂錨芼楙"
"maw","冒帽耄瑁旄冃芼眊覒媢"
"mav","冇蓩冃媢"
"mei","迷咪醚麛"
"mey","谜謎"
"mej","米眯脒洣蔝"
"mek","觅汨纟冖幂糸冂覓塓幎覛漞鼏冪濗幦羃蓂覭"
"mef","厸"
"men","眠矏"
"meq","铭冥溟瞑螟暝鄍蓂猽嫇榠銘覭"
"meg","茗酩眳嫇姳瀴"
"mel","面眄麫麪麵"
"mer","眄芇丏"
"meoy","脄"
"meoj","挴"
"meok","万墨默纆艒"
"meoq","瞢朆蕄"
"meoc","懜"
"met","蔑篾蠛覕鴓幭瀎懱衊鱴粖"
"mia","咩"
"meeq","明盟鸣朙鳴"
"meec","命"
"meeg","皿"
"miax","乜"
"mee","糜縻蘼醿"
"meer","免勉冕娩俛絻鮸"
"meeu","苗描瞄鹋喵貓緢鶓"
"meew","庙庿廟"
"meex","靡蘼骳"
"mie","弥猕冞擟麊彌獼镾鸍瀰瓕"
"miey","袂"
"mien","棉绵宀芇綿蝒臱緜櫋矊矏"
"mieq","名洺"
"miec","詺"
"mieg","眳慏"
"miel","面偭"
"mier","缅湎沔黾汅勔偭愐緬黽"
"miet","灭搣滅"
"mieu","蜱篻"
"miew","妙覅篎玅"
"miev","秒渺淼藐缈杪眇訬篎緲"
"miex","弭芈敉羋侎沵葞渳瞇濔瀰蝆"
"mih","寐媢"
"me","眉霉湄麋楣嵋猸鹛郿葿睂瑂矀攗蘪鶥黴覹緡錉鍲笢閩闅忞"
"meh","魅媚郿鬽煝蝞篃嚜"
"mein","闽岷珉缗玟苠睧旻旼盿罠捪瑉碈鈱痻緍緡錉鍲笢閩闅忞"
"meir","敏闵悯愍鳘暋敃閔湣慜潣憫簢鰵"
"meit","密宓嘧沕蔤滵樒"
"mex","美镁渼媄媺鎂"
"min","民睧怋闅"
"mir","泯渑抿黾刡笢黽僶澠"
"mit","蜜谧淧榓謐"
"miu","谋矛牟眸蟊哞蝥鹨鍪蛑侔毪鷚堥劺恈謀麰鴾鞪雺"
"mo","无模摸摹馍谟嫫橅謨饃無墲"
"moh","墓慕暮募仫慔"
"moi","梅煤媒枚玫酶莓镅脄脢腜禖塺鋂"
"moy","妹昧瑁脢眛痗"
"moj","每浼挴燘潣"
"mok","瑁媢萺艒"
"mon","们门扪钔樠門捫璊鍆虋們怋亹"
"moc","雺"
"mol","闷焖懑悶燜懣"
"mor","懑懣"
"mot","没殁沒歿莈"
"mox","姥媽峔"
"mu","呣"
"mua","么魔摩磨蘑劘"
"muah","耱塺"
"muan","瞒馒曼蔓鳗镘颟墁鞔顢悗慲樠瞞饅鬗鰻槾鏝芇絻蹣"
"mual","漫幔谩熳缦镘墁獌縵謾鏝"
"muar","满螨懑滿蟎鏋懣"
"muat","末抹沫茉秣韎瀎妺昩眜粖靺"
"muax","么嬷麽麼嬤懡"
"muh","贸茂懋袤戊瞀貿楙愗鄮苺雺"
"muk","木沐朷蓩蚞毣楘霂艒鞪鶩"
"muq","蒙朦檬蠓艨礞罞髳霿冡幪濛鹲矇靀饛鸏懜霥雺霚"
"muc","艨霿"
"mug","蒙懵蠓曚鹲鸏"
"mux","某母亩姆牡拇胟畞畝畮踇"
"miiu","鹨鷚"
"myaf","錽"
"myaq","亡硭杗铓朚鋩亾莣朢"
"myac","望忘妄汒朢"
"myag","网惘罔辋魍菵棢蛧網輞誷"
"myoi","微薇矀癓"
"myoy","未味沬菋鮇"
"myoj","尾娓艉浘亹斖"
"miiw","缪谬繆謬"
"miuk","目牧穆睦钼苜坶萺鉬"
"miun","文闻纹蚊雯阌彣炆紋馼聞鳼閿螡闅鼤蟁"
"miuq","瞢鄸懜"
"miuc","梦瞢鄸夢"
"miul","问紊汶璺絻莬脕鼤抆問"
"miur","吻刎勽抆伆"
"myo","无芜巫毋诬蝥呒怃膴瞴嘸誣莁鹀無墲蕪璑鵐譕鷡憮"
"myoh","务雾鹜婺骛蝥嵍敄務霚霧騖鶩"
"myon","樠"
"myol","万鬗獌澫輓卍脕萬蟃贎"
"myor","晚挽輓脕"
"myot","袜襪韈韤"
"myox","舞武侮妩鹉庑呒怃膴瞴嘸娬珷碔廡潕憮嫵甒儛鵡敄"
"miut","物勿芴沕昒伆岉"
"na","挪傩臡儺"
"nah","那"
"nay","奈萘柰镎渿錼"
"nak","诺锘諾鍩"
"nan","难難"
"naq","囊馕囔蠰饢"
"nac","灢儾"
"nag","曩灢"
"nal","难難"
"nap","笝魶"
"nat","捺"
"nau","猱峱嶩巎獿憹訄臑"
"naw","腝"
"nav","脑恼瑙垴匘堖惱腦碯"
"nax","哪娜袲橠"
"nei","泥屔埿臡"
"ney","埿迡"
"nej","坭祢薾檷禰瀰嬭苨鑈"
"nek","溺惄愵"
"nem","拈鲶鲇鮎鯰"
"neb","念"
"nef","淰姌"
"nen","年秊"
"neq","宁咛聍甯寍寧嚀聹鸋"
"nec","宁泞佞甯寧鸋寗濘"
"neg","拧聍聹擰"
"nel","晛"
"ner","捻跈撚蹨涊"
"neoy","耐鼐佴耏螚"
"neoj","乃鼐氖迺倷"
"neom","男南楠囡抩柟"
"neob","妠"
"neof","腩蝻萳揇湳"
"neoq","能"
"neop","纳钠衲吶妠納軜鈉蒳魶"
"nep","埝鑈苶菍惗敜錜籋暬慹"
"net","捏涅揑苶圼菍湼篞"
"new","尿脲"
"nev","袅娆嬲裊嫋褭嬝嬈"
"qa","鹅蛾俄峨娥哦莪锇硪峩涐睋誐鋨鵝"
"qaa","牙呀芽衙蚜伢枒齖庌"
"qaah","讶迓砑枒齖犽訝"
"qaak","额頟額峉詻"
"qaam","岩巖礹"
"qaan","颜楌顏顔"
"qaal","雁赝偐鳫鴈贋贗"
"qaat","聐齾"
"qaau","聱磝謷"
"qaaw","乐硗磽樂"
"qaav","咬齩"
"qaax","雅疋厊庌"
"qae","崖涯捱啀厓猚"
"qaeh","睚"
"qaei","娾"
"qaey","譺"
"qaej","娾騃"
"qaek","鳽虉"
"qaem","癌羬嵒碞麙黬"
"qaeb","顑"
"qaen","訮詽虤"
"qaeq","俓娙"
"qaec","硬鞕"
"qaer","眼"
"qah","饿餓"
"qay","艾哎鴱"
"qak","鄂鳄噩愕锷鹗萼谔腭颚咢偔堮遌崿湂諤鍔顎鶚鰐齶鑩鱷"
"qan","犴豻雃"
"qaq","昂枊卬"
"qac","枊"
"qal","岸顸犴豻頇喭"
"qaok","乐岳觷捳樂嶽鸑"
"qap","儑"
"qat","蘖顸歺屵頇枿嶭櫱齾"
"qau","熬鳌敖遨翱嗷螯骜獒鏊廒聱嗸嶅蔜滶璈摮謷翺鷔鰲鼇嫯驁"
"qaw","傲骜鏊謷鷔奡嫯驁"
"qax","我硪騀"
"qei","倪霓鲵猊郳婗棿蜺輗貎觬鯢麑齯"
"qey","诣羿睨堄甈盻栺詣"
"qej","觬掜晲堄"
"qek","鹢艗鶂鷁虉"
"qen","研妍趼俓鳽姸硏揅"
"qeg","矨"
"qel","砚趼豜硯"
"qer","齞"
"qeoi","呆皑剀嵦皚獃隑剴敳"
"qeoy","碍阂硋礙閡懝儗"
"qeom","嵁"
"qeob","儑"
"qeof","嵁顉"
"qeon","圻泿"
"qeop","儑砐礘魥礏"
"qet","镍啮臬陧摰闑蜺隉嵲槷嶭臲鎳齧"
"qeu","尧侥僥垚峣堯嶢顤"
"qew","嘄顤獟鼼"
"qeek","逆屰縌"
"qeeq","迎"
"qee","仪宜宐儀鸃轙"
"qeeh","义议谊竩義誼議"
"qeeb","验噞驗"
"qeef","嬐崄嶮隒噞顩"
"qeel","彦唁谚甗彥喭諺"
"qeer","谳嵃遃甗巘齴讞"
"qeet","孽蘖谳闑孼櫱蠥糱钀讞"
"qeex","蚁舣锜螘錡檥礒蟻艤轙齮羛"
"qiay","刈乂"
"qiak","虐疟磭瘧"
"qiam","严嚴"
"qiab","酽釅"
"qiaf","俨儼曮礹"
"qiag","仰卬"
"qiap","业邺業鄴嶪澲驜鸈"
"qiey","艺呓埶蓺槸褹寱藝囈"
"qioi","沂溰"
"qioy","毅顡豙藙"
"qioj","螘顗"
"qe","狋"
"qeh","劓"
"qeim","吟碞乑荶唫崟訡"
"qeif","僸趛"
"qein","银垠鄞狺泿珢訔圁銀誾檭嚚"
"qeil","垽猌慭憖憗"
"qeir","磭龂釿齗"
"qeip","岌"
"qeit","圪聉耴"
"qik","嶷薿懝觺"
"qiq","凝"
"qir","磭釿齗"
"qio","鱼渔龉魚漁铻鋙齬"
"qioh","语御驭馭"
"qion","言讠訁琂甗"
"qiol","鬳"
"qior","屵巘"
"qiot","钀"
"qiox","语御圄龉圉敔铻語鋙蘌齬禦篽籞"
"qii","疑嶷觺"
"qiy","譺豙儗"
"qiin","圻鄞龈狺斦龂齦齗"
"qiil","垽"
"qiit","屹疙圪仡"
"qij","拟譺孴擬薿儗"
"qiu","牛"
"qiw","鼼"
"qo","吴吾梧浯蜈唔龉鼯牾鋘吳郚娪珸祦鯃峿麌齬誤窹"
"qoh","误悟晤捂焐牾忤痦迕寤遌遻啎逜悮悞誤窹"
"qoi","桅嵬阢峞鮠硙磑"
"qoy","硙磑"
"qoj","隗顡峞頠"
"qon","梱瘒顐"
"qol","诨諢顐"
"qot","兀杌阢刖扤屼矹鼿軏"
"qox","五伍午仵旿"
"qu","齵"
"qua","讹吪囮訛鈋魤譌"
"qoan","顽頑"
"qoal","薍"
"qoat","刖"
"qoax","瓦佤邷"
"qoey","聩聵顡"
"qoet","聉"
"quah","卧臥"
"quay","外"
"quak","瓁"
"quan","鼋刓抏岏忨蚖羱黿"
"qual","玩貦忨翫妧"
"quat","枂"
"quh","偶"
"qux","偶藕耦蕅髃"
"qiiu","聱"
"que","危峗洈"
"queh","伪偽僞"
"quex","姽硊頠"
"qyoi","巍犩"
"qyoy","魏犩"
"qiuk","砡"
"qiur","夽喗齫齳"
"qyo","娱愚虞禺隅齵娛堣嵎湡澞鍝髃鰅鸆"
"qyoh","遇寓禺庽媀"
"qyok","玉狱钰顼鈺獄鳿"
